zipcode,full_time_earnings,part_time_earnings,no_earnings,car_truck_van,public_transportation,taxi,motorcycle,bike_walk_other,work_home,less_than_hs,high_school_grad,associates,bachelors,masters,professional_school_degree,doctorate,public_school_enrollment,private_school_enrollment,no_school_enrollment,for_rent,rented_and_unoccupied,for_sale_only,sold_and_unoccupied,seasonal_or_rec_use,migrant_worker_housing,vacant_other_reasons,in_occupied_housing_units,adult_correctional_facility,juvenile_facilities,nursing_facilities,other_institutional,military_quarters,other_noninstitutional,house_owned_with_mortgage,house_owned_outright,renter_occupied_housing,vacant_households,husband_and_wife_house,single_guardian,singles,singles_with_roommate,male,female,median_age,male_median_age,female_median_age,population,population_density_per_sq_mile,total_housing_units,median_home_value,land_area,water_area_sq_mile,occupied_housing_units,median_household_income
98027,10536,6086,6175,12476,995,0,9,484,900,703,6547,1545,7140,3365,684,314,3680,711,286,228,32,206,45,103,0,180,25735,0,0,131,0,0,275,6053,1575,2826,794,6022,1115,2567,750,12785,13356,41,40,42,26141,469,11248,478800.00,55.79,1.13,10454,100644.00
98028,7111,4356,4998,7889,807,0,65,241,856,1008,5328,1215,4386,1742,534,493,3257,486,457,219,12,180,16,44,0,114,20333,0,1,27,0,0,58,4552,1325,2104,585,4410,1076,1868,627,10120,10299,40,38,40,20419,3606,8566,386200.00,5.66,0.72,7981,82448.00
98029,9610,4743,5468,10351,887,0,74,514,841,400,4577,1546,7014,2925,593,690,4359,965,556,186,21,209,36,52,0,62,24234,0,0,114,0,0,0,5913,1075,2668,566,5632,994,2497,533,11691,12657,35,34,36,24348,2719,10222,446900.00,8.95,0.02,9656,99974.00
98030,9800,6314,8196,11879,857,13,0,251,684,3728,9580,1960,3520,927,111,58,6016,555,1427,475,8,154,32,22,1,147,33424,130,0,43,0,0,172,5039,867,5994,839,5382,2612,3055,851,16832,16937,32,31,34,33769,4741,12739,251700.00,7.12,0.09,11900,51446.00
98031,11436,7307,8595,14375,956,16,45,399,789,3323,11043,1920,4139,1461,181,204,7067,378,966,236,11,133,23,50,0,151,36237,0,0,95,0,0,249,6525,1457,4260,604,6598,2513,2359,772,18133,18448,35,34,36,36581,4877,12846,271500.00,7.50,0.10,12242,63709.00
98032,10656,6984,8683,12781,1178,0,20,718,308,3726,10675,2200,3581,890,120,114,5449,343,1165,654,18,151,17,56,0,162,32901,649,17,36,0,0,250,4449,1284,7660,1058,4861,2691,4580,1261,17190,16663,33,32,33,33853,2024,14451,234700.00,16.72,0.29,13393,48853.00
98033,12953,6312,6955,13815,1128,0,51,655,1506,757,6522,1396,9003,4038,884,551,4138,1409,443,442,59,305,51,266,0,243,33869,17,0,10,4,0,42,7708,2054,5487,1366,7263,1527,5059,1400,16777,17561,39,38,40,34338,3696,16615,528300.00,9.29,1.71,15249,103250.00
98034,15037,8371,7539,17063,1553,62,94,514,1132,1624,10016,2577,8570,3402,658,436,4764,1145,639,463,28,221,26,71,1,179,39878,0,13,165,4,0,304,8562,1787,6542,989,7893,2246,5017,1735,20017,20390,36,35,38,40407,4428,17880,364900.00,9.13,1.69,16891,77688.00
98038,11909,5983,7065,14453,361,0,48,305,850,833,11564,2198,5014,1763,223,106,6745,809,837,75,10,178,42,71,0,157,31171,0,0,0,0,0,0,7974,1308,1572,533,7270,1346,1688,550,15574,15597,37,36,37,31171,469,11387,317700.00,66.49,0.39,10854,95043.00
98039,807,385,953,890,34,0,0,40,57,12,290,68,922,388,146,51,555,355,32,13,0,32,9,19,0,28,2971,0,0,0,0,0,0,567,379,116,101,777,89,172,24,1468,1503,46,45,46,2971,2059,1163,1000001.00,1.44,4.30,1062,183833.00
98040,6994,4548,6794,8002,761,0,17,403,975,291,2975,789,6842,3414,1780,605,3428,1370,151,285,37,146,27,157,0,169,22631,0,0,43,0,0,25,4427,2168,2514,821,5671,861,2198,379,11046,11653,46,45,47,22699,3591,9930,864000.00,6.32,6.79,9109,126359.00
98042,16586,8556,9106,20331,809,25,12,332,1145,2181,15875,2804,5868,2269,303,84,7798,980,782,154,13,243,41,68,1,203,43600,0,0,0,6,0,67,10606,1995,2496,723,9574,2246,2407,870,21802,21871,38,37,39,43673,1537,15820,297100.00,28.41,1.21,15097,87342.00
98045,5568,2861,2410,6803,97,0,0,122,527,598,4507,888,2751,561,249,123,2275,364,210,79,8,71,17,84,1,84,13814,0,0,42,0,0,32,3348,622,1222,344,3131,656,1032,373,6993,6895,40,39,40,13888,41,5536,368300.00,336.99,6.04,5192,88906.00
98052,23520,11394,12758,25472,2088,13,63,1813,1900,2061,11252,3104,15250,9007,805,1179,7326,2602,671,709,67,357,62,160,0,311,58125,0,0,171,0,0,146,10907,2666,10435,1666,12739,2413,6819,2037,29710,28732,34,33,36,58442,2908,25674,465200.00,20.10,0.83,24008,99192.00
98053,7243,4256,5557,8304,431,0,48,279,1058,282,4280,977,5562,2964,616,509,3517,1106,185,159,7,120,59,106,0,93,18776,0,0,7,0,0,1,4917,1191,1000,544,4902,530,1346,330,9229,9555,41,41,42,18784,662,7652,544500.00,28.37,0.18,7108,116518.00
98055,8656,4230,4711,10109,621,0,14,163,608,1738,7276,1467,3422,1046,130,88,2426,422,414,319,18,133,18,45,0,179,21681,5,0,108,0,0,110,3868,966,3952,712,3713,1584,2672,817,10671,11233,35,34,36,21904,4585,9498,266100.00,4.78,0.10,8786,66461.00
